dataset,subject,roi,time_idx,time_s,model,layer,RSA,CKA
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/language_model-layers-3,-0.05205888695364042,0.01696504664256373
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/language_model-layers-8,-0.051038781698659164,0.018452745772912466
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-10,0.04149427395985204,0.02255081246617506
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-14,0.04460402139274185,0.01792600491844619
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-18,0.032471393426081026,0.01701045429998078
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-2,0.05998627790929685,0.012614995927057879
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-22,0.032054669754657976,0.02047536957454882
EEG2,sub-01,whole_brain,18,0.18,Qwen3-VL-2B,features/visual-blocks-6,0.053743879543865024,0.014120829840247729
EEG2,sub-01,whole_brain,20,0.2,ResNet152_adv,features/layer1-0,0.10517625993671388,0.02326920517957899
EEG2,sub-01,whole_brain,20,0.2,ResNet152_adv,features/layer2-0,0.08544281297555072,0.02988318564507927
EEG2,sub-01,whole_brain,20,0.2,ResNet152_adv,features/layer3-0,0.05139002456877472,0.03030953210747851
EEG2,sub-01,whole_brain,20,0.2,ResNet152_adv,features/layer3-10,0.05959345395114124,0.026624483122829588
EEG2,sub-01,whole_brain,20,0.2,ResNet152_adv,features/layer3-15,0.0386229732943647,0.02884259677919272
EEG2,sub-01,whole_brain,20,0.2,ResNet152_adv,features/layer3-20,0.03456692972195158,0.030031953316910658
EEG2,sub-01,whole_brain,20,0.2,ResNet152_adv,features/layer3-25,0.012281482601563852,0.03312671580902719
EEG2,sub-01,whole_brain,20,0.2,ResNet152_adv,features/layer3-30,0.017804192516622585,0.03505158353086593
EEG2,sub-01,whole_brain,20,0.2,ResNet152_adv,features/layer3-5,0.0694410605769786,0.025450276911450114
EEG2,sub-01,whole_brain,20,0.2,ResNet152_adv,features/layer4-1,0.009447257316353796,0.026356357873160687
